loan_id,cust_id,branch_id,product_id,loan_amount,interest_rate,tenure_years,loan_status,date_id
59,1192,11,1,3087000,8.79,13,Closed,776
60,1017,13,1,1202000,8.63,10,Active,1060
61,1120,2,1,970000,7.11,14,Default,811
62,1393,14,5,749000,10.88,5,Active,243
63,1425,6,2,142000,11.82,3,Active,219
64,1129,8,1,2583000,8.61,9,Active,201
65,1130,18,5,556000,10.2,5,Active,394
66,1060,16,1,2166000,8.0,11,Active,601
67,1048,21,4,486000,10.03,5,Default,269
68,1029,12,2,718000,12.7,3,Active,836
69,1097,11,2,429000,12.09,1,Closed,124
70,1010,6,1,617000,6.5,9,Closed,400
71,1242,3,5,1897000,10.28,6,Active,908
72,1314,14,1,1422000,8.6,10,Active,281
73,1444,2,1,863000,9.04,15,Active,1008
74,1232,11,3,469000,9.47,4,Active,767
75,1277,22,5,533000,11.75,7,Closed,433
76,1284,3,1,2236000,8.27,10,Active,400
77,1203,18,4,2014000,9.81,5,Active,871
78,1247,1,4,622000,9.82,5,Active,1026
79,1290,24,3,1250000,9.69,5,Active,329
80,1264,1,2,102000,13.73,1,Active,635
81,1443,12,1,3544000,7.43,11,Active,383
82,1214,15,2,105000,12.67,3,Active,78
83,1200,5,3,609000,8.01,1,Closed,332
84,1433,6,1,1963000,9.75,8,Active,163
85,1079,16,3,1972000,9.38,2,Closed,150
86,1401,12,1,1026000,8.49,11,Active,560
87,1444,12,2,269000,11.3,2,Active,626
88,1343,3,2,136000,12.33,4,Active,576
89,1344,23,5,1032000,10.59,4,Closed,963
90,1173,2,3,922000,8.44,3,Closed,150
91,1467,7,1,2341000,8.26,12,Active,1071
92,1069,2,1,1463000,7.51,7,Closed,362
93,1416,21,3,933000,9.58,4,Active,374
94,1428,7,2,215000,11.41,4,Active,771
95,1449,11,3,367000,9.02,6,Active,95
96,1087,11,2,635000,12.35,1,Active,954
97,1101,14,5,806000,10.88,7,Closed,82
98,1008,3,6,196000,10.87,2,Active,633
99,1333,14,1,1446000,8.22,10,Active,903
100,1200,11,4,669000,9.1,4,Default,996
101,1087,4,1,1177000,8.92,9,Closed,413
102,1043,17,2,475000,12.37,4,Active,3
103,1385,16,2,90000,12.98,4,Default,13
104,1109,3,3,560000,9.23,4,Active,164
105,1435,25,2,136000,12.02,2,Active,617
106,1408,10,5,1230000,10.24,7,Active,166
107,1483,21,2,290000,12.0,1,Active,60
108,1152,15,2,492000,12.15,3,Active,382
109,1017,8,1,1581000,9.22,12,Active,790
110,1133,18,3,359000,8.32,4,Active,661
111,1148,3,1,1448000,7.15,10,Closed,467
112,1277,7,2,153000,12.45,1,Active,516
113,1232,10,1,451000,7.93,12,Active,481
114,1314,20,1,1520000,8.21,11,Active,237
115,1415,9,1,1400000,7.82,13,Active,720
116,1366,14,1,1784000,8.03,9,Active,172
117,1228,23,2,312000,11.93,1,Closed,207
118,1139,14,2,190000,11.8,3,Active,571
119,1436,11,1,550000,8.22,11,Active,805
120,1399,1,3,522000,8.15,4,Active,113
121,1211,4,1,1938000,8.6,13,Active,488
122,1391,6,2,715000,11.84,2,Active,383
123,1499,22,4,857000,9.99,6,Active,958
124,1028,22,2,363000,12.01,4,Active,698
125,1051,5,6,184000,11.18,4,Active,624
126,1491,3,2,223000,12.53,3,Closed,707
127,1442,2,5,2499000,10.19,10,Closed,125
128,1261,3,4,237000,11.87,6,Active,356
129,1261,9,5,1424000,10.69,9,Active,239
130,1350,19,6,168000,10.33,2,Closed,1006
131,1352,19,1,1522000,8.13,11,Active,513
132,1008,17,1,1921000,8.8,11,Active,633
133,1320,18,3,488000,8.16,5,Closed,601
134,1138,11,2,102000,12.25,3,Active,1024
135,1038,12,4,859000,8.39,4,Active,114
136,1111,3,1,664000,8.44,14,Active,929
137,1480,18,4,449000,10.49,5,Active,27
138,1368,24,1,809000,7.73,11,Active,599
139,1220,6,1,587000,8.82,8,Active,592
140,1337,7,6,410000,9.5,2,Active,180
141,1223,1,1,1614000,7.68,11,Active,567
142,1136,6,2,132000,11.58,3,Closed,247
143,1256,18,1,1262000,9.93,14,Active,317
144,1360,13,5,828000,10.69,7,Default,959
145,1409,22,3,589000,8.76,3,Active,782
146,1329,19,4,354000,9.81,8,Active,986
147,1450,7,2,55000,12.51,5,Active,890
148,1463,19,2,294000,12.22,4,Active,1092
149,1434,9,1,1396000,7.61,11,Active,777
150,1451,3,1,748000,9.51,11,Active,747
151,1049,23,2,373000,13.32,1,Active,345
152,1292,12,3,870000,9.5,4,Active,52
153,1382,20,1,819000,8.36,11,Active,805
154,1324,24,1,431000,8.66,10,Active,592
155,1078,18,1,765000,8.16,11,Active,693
156,1105,8,2,384000,11.73,4,Closed,409
157,1169,9,1,1084000,9.7,11,Active,335
158,1217,13,1,1112000,8.97,11,Active,405
159,1378,8,1,1450000,7.5,9,Closed,122
160,1119,22,5,2675000,10.31,9,Active,647
161,1190,10,1,2195000,8.52,10,Active,689
162,1255,17,5,2513000,11.28,6,Active,1063
163,1370,7,2,173000,12.9,2,Active,75
164,1266,17,3,533000,8.14,4,Active,865
165,1149,23,1,1063000,8.74,12,Default,217
166,1164,18,3,877000,9.74,3,Active,743
167,1140,24,1,1915000,7.37,10,Active,418
168,1347,2,1,2214000,9.45,12,Active,656
169,1488,3,5,1888000,10.9,3,Active,864
170,1258,19,3,310000,8.98,2,Active,808
171,1374,1,1,2666000,7.44,11,Active,296
172,1269,21,2,539000,12.02,3,Active,450
173,1181,21,2,647000,12.22,4,Closed,103
174,1160,10,3,734000,7.83,1,Active,790
175,1351,21,3,493000,8.66,3,Active,901
176,1400,14,1,1916000,7.48,10,Active,146
177,1288,13,1,1556000,8.66,9,Closed,119
178,1288,9,2,168000,9.87,2,Active,264
179,1380,6,2,508000,12.31,3,Active,1083
180,1226,6,2,272000,11.42,3,Active,989
181,1011,19,3,672000,8.9,4,Active,665
182,1010,21,3,885000,10.67,4,Active,186
183,1271,10,2,182000,13.76,3,Active,787
184,1273,23,5,1081000,10.63,6,Active,893
185,1424,3,1,874000,8.01,12,Active,362
186,1402,18,3,314000,8.62,5,Active,999
187,1183,21,6,259000,10.64,2,Active,236
188,1457,19,2,523000,13.05,2,Active,1075
189,1153,5,2,121000,11.51,2,Active,351
190,1488,25,1,1719000,9.33,11,Active,417
191,1315,11,4,753000,10.69,8,Active,843
192,1334,10,2,103000,12.8,3,Active,744
193,1124,17,3,1162000,9.19,6,Active,1006
194,1473,4,1,1243000,7.47,13,Active,13
195,1114,21,1,2985000,8.91,13,Active,881
196,1278,18,1,1570000,7.91,11,Active,806
197,1500,18,1,1385000,7.23,10,Closed,213
198,1414,1,5,545000,11.06,5,Active,270
199,1468,14,5,193000,10.13,6,Closed,984
200,1213,8,2,197000,12.05,4,Active,1064
201,1172,2,1,3045000,9.03,11,Closed,774
202,1288,19,1,1179000,8.06,8,Active,181
203,1435,15,3,550000,8.87,3,Active,1017
204,1174,2,1,1498000,9.03,12,Closed,106
205,1113,4,3,1387000,7.56,3,Active,833
206,1376,1,1,4097000,9.34,10,Active,487
207,1405,19,3,619000,9.36,3,Active,404
208,1483,21,5,1033000,10.95,6,Active,390
209,1122,10,2,218000,12.47,1,Active,608
210,1032,1,5,1488000,11.48,7,Closed,1000
211,1222,20,4,238000,10.77,5,Active,123
212,1119,22,3,1087000,8.72,5,Active,789
213,1039,15,2,93000,12.4,3,Active,37
214,1497,4,1,1714000,8.61,9,Active,710
215,1268,7,5,377000,9.08,9,Active,767
216,1233,7,3,616000,9.18,6,Active,503
217,1431,22,4,800000,10.37,5,Active,917
218,1018,25,2,336000,12.13,3,Active,597
219,1149,18,1,2633000,7.9,10,Active,92
220,1397,13,6,103000,10.64,2,Active,100
221,1149,10,1,3182000,8.06,13,Closed,977
222,1126,24,5,1179000,10.82,8,Active,686
223,1392,8,1,1138000,8.15,10,Active,394
224,1302,10,2,157000,13.67,1,Default,594
225,1360,14,2,114000,11.65,3,Active,834
226,1238,14,6,563000,11.03,3,Active,886
227,1135,20,5,674000,10.56,9,Active,1005
228,1151,22,5,1254000,11.24,6,Active,505
229,1236,11,2,369000,12.64,3,Active,790
230,1224,6,1,2363000,9.65,10,Active,491
231,1203,21,3,677000,9.19,4,Closed,342
232,1256,1,2,193000,12.2,3,Default,470
233,1086,19,4,462000,10.05,8,Default,134
234,1150,7,4,476000,11.09,3,Active,878
235,1235,24,2,472000,12.27,4,Active,677
236,1345,18,4,163000,8.67,2,Active,212
237,1022,3,5,603000,10.71,9,Active,585
238,1348,20,6,78000,10.44,1,Active,357
239,1285,11,3,632000,9.8,4,Active,453
240,1269,5,4,784000,9.08,5,Active,537
241,1466,19,2,329000,12.12,3,Active,421
242,1258,21,1,1270000,8.31,10,Closed,151
243,1029,24,1,4160000,7.94,11,Active,503
244,1213,24,1,3087000,8.57,13,Closed,888
245,1463,2,1,2175000,8.61,11,Active,948
246,1436,22,1,2529000,8.66,11,Active,743
247,1283,4,5,561000,9.95,6,Closed,515
248,1050,25,3,544000,9.85,5,Active,335
249,1095,10,2,222000,12.1,3,Active,584
250,1463,2,2,483000,12.49,2,Closed,208
251,1499,8,2,322000,11.24,3,Active,852
252,1407,1,1,1059000,8.18,11,Closed,577
253,1088,6,1,3540000,8.29,9,Closed,708
254,1044,11,5,865000,10.68,7,Active,678
255,1461,10,4,566000,9.41,6,Active,232
256,1278,13,3,534000,9.75,4,Active,989
257,1171,1,2,247000,12.94,3,Active,881
258,1421,2,1,954000,8.4,11,Active,604
259,1189,3,2,340000,12.04,4,Closed,332
260,1353,9,3,664000,8.35,2,Closed,812
261,1184,5,3,768000,8.78,3,Active,207
262,1003,10,1,1839000,9.59,8,Active,361
263,1191,10,4,396000,9.38,6,Active,373
264,1118,12,2,347000,14.57,4,Closed,544
265,1019,18,2,130000,11.63,1,Closed,131
266,1023,21,3,666000,9.53,4,Active,529
267,1413,21,2,1029000,12.67,2,Active,78
268,1030,1,3,758000,8.93,5,Active,41
269,1295,3,1,1050000,7.31,11,Active,258
270,1108,5,2,260000,11.47,3,Active,290
271,1367,25,1,2306000,8.3,11,Active,624
272,1281,17,1,3589000,7.38,12,Closed,714
273,1128,8,1,1880000,9.06,10,Active,552
274,1229,17,3,303000,8.73,3,Active,711
275,1111,9,1,1756000,8.69,12,Active,961
276,1136,6,1,1417000,8.47,12,Closed,823
277,1362,17,2,263000,12.1,3,Active,74
278,1186,8,5,419000,11.79,4,Active,5
279,1144,21,4,314000,10.46,2,Active,824
280,1072,7,5,1681000,11.12,5,Active,118
281,1129,7,3,901000,9.76,4,Active,744
282,1364,15,2,87000,13.03,3,Active,661
283,1261,7,4,739000,9.55,5,Active,749
284,1003,22,1,1577000,7.33,10,Active,430
285,1449,8,1,1268000,8.56,10,Active,667
286,1388,9,2,270000,13.08,3,Active,159
287,1104,15,1,3394000,7.21,12,Closed,681
288,1483,2,3,430000,8.8,3,Active,1086
289,1224,7,2,277000,12.32,3,Active,1016
290,1320,15,1,2231000,7.76,10,Closed,661
291,1362,18,5,912000,10.54,7,Active,1037
292,1354,22,3,286000,8.41,4,Active,417
293,1491,18,2,125000,12.26,4,Active,870
294,1473,10,6,169000,10.92,2,Active,1019
295,1010,22,1,1261000,6.6,11,Closed,616
296,1405,18,4,595000,9.21,4,Active,1073
297,1384,1,2,134000,13.2,1,Active,1027
298,1302,7,3,1378000,8.63,4,Active,934
299,1231,3,6,120000,8.8,2,Active,1023
300,1219,14,2,146000,12.63,5,Active,762
301,1411,12,1,1546000,8.44,10,Active,583
302,1066,14,1,6446000,8.26,12,Closed,271
303,1425,4,1,1719000,8.54,11,Active,727
304,1112,13,4,501000,10.95,4,Closed,434
305,1013,16,1,3102000,7.97,8,Active,522
306,1393,16,1,1124000,8.08,10,Active,612
307,1500,22,4,305000,9.68,5,Active,869
308,1420,5,1,1901000,9.01,10,Active,946
309,1086,20,5,428000,11.58,8,Active,490
310,1234,25,1,1098000,8.78,10,Active,810
311,1090,6,1,1148000,9.77,9,Active,746
312,1314,6,1,2231000,8.91,9,Active,436
313,1054,18,6,221000,11.34,3,Active,686
314,1012,6,2,209000,11.49,1,Active,217
315,1209,7,1,959000,7.98,11,Closed,40
316,1462,24,2,284000,13.99,3,Active,698
317,1014,24,3,1132000,8.23,2,Active,792
318,1121,16,1,827000,9.08,11,Active,680
319,1418,9,4,582000,10.97,5,Closed,404
320,1437,13,1,2113000,9.38,9,Active,1053
321,1377,12,1,1175000,6.95,12,Active,37
322,1020,19,2,219000,12.24,1,Active,507
323,1075,23,1,1304000,8.62,10,Closed,260
324,1400,23,6,255000,10.96,2,Active,960
325,1243,1,1,610000,8.49,10,Active,634
326,1223,8,4,565000,9.13,5,Active,412
327,1070,4,1,795000,8.29,13,Active,422
328,1312,21,5,603000,10.19,8,Active,959
329,1211,22,1,1675000,7.22,12,Active,663
330,1101,19,6,143000,10.18,3,Active,1015
331,1186,21,1,1335000,9.54,12,Active,595
332,1132,5,4,965000,9.79,5,Active,170
333,1111,17,2,300000,11.37,2,Active,782
334,1381,3,2,375000,12.23,1,Active,228
335,1132,19,1,2363000,9.8,13,Closed,5
336,1020,1,5,1321000,9.81,7,Active,152
337,1394,23,1,957000,8.5,11,Closed,221
338,1024,1,4,275000,10.2,2,Default,157
339,1227,23,2,346000,11.64,1,Closed,1030
340,1154,20,6,321000,10.89,3,Active,290
341,1293,9,3,597000,8.57,2,Active,278
342,1230,23,1,1380000,7.58,10,Active,1005
343,1469,5,2,311000,12.62,3,Active,881
344,1310,7,1,1535000,9.52,13,Active,983
345,1488,25,1,1354000,7.86,11,Active,995
346,1359,6,2,297000,12.94,3,Active,346
347,1405,17,5,740000,11.36,6,Active,580
348,1202,22,5,1428000,11.13,7,Active,613
349,1038,17,1,2022000,7.63,12,Active,674
350,1430,13,2,297000,11.74,5,Active,313
351,1260,12,1,872000,7.55,13,Closed,173
352,1188,4,1,1938000,8.02,11,Active,228
353,1057,8,1,2651000,8.19,12,Active,193
354,1429,5,4,350000,9.14,4,Active,521
355,1020,5,6,201000,10.6,2,Active,426
356,1273,13,1,994000,8.02,10,Closed,942
357,1119,11,2,229000,12.57,2,Active,74
358,1071,8,1,1833000,8.21,12,Default,343
359,1004,8,6,402000,11.38,4,Active,371
360,1221,1,1,1793000,8.67,9,Closed,401
361,1014,13,3,971000,8.88,4,Active,884
362,1003,5,5,471000,10.88,6,Closed,222
363,1216,21,1,2013000,8.05,12,Closed,640
364,1229,8,3,517000,9.02,5,Active,859
365,1336,17,1,1501000,8.77,14,Closed,374
366,1186,23,4,1321000,9.31,7,Active,1031
367,1055,23,1,3048000,7.97,12,Active,737
368,1500,13,6,300000,10.84,1,Active,436
369,1388,9,6,139000,8.18,1,Active,738
370,1376,2,4,550000,10.41,5,Active,565
371,1254,19,2,168000,11.43,5,Active,1027
372,1024,20,4,567000,9.43,6,Active,544
373,1162,17,1,4309000,7.64,13,Active,636
374,1158,7,1,2050000,9.06,9,Active,849
375,1082,3,1,1755000,9.27,11,Active,821
376,1403,19,3,486000,9.17,4,Closed,396
377,1159,19,4,810000,9.93,5,Active,892
378,1188,24,6,322000,10.37,3,Closed,389
379,1060,9,3,459000,8.89,2,Active,448
380,1403,10,4,1237000,10.75,3,Closed,45
381,1305,14,5,750000,13.26,6,Active,404
382,1319,18,6,126000,10.62,3,Closed,309
383,1366,15,2,236000,12.93,2,Active,227
384,1211,1,1,1510000,7.51,14,Active,349
385,1406,25,2,370000,11.58,3,Closed,113
386,1152,6,2,369000,11.73,3,Active,1054
387,1109,15,3,450000,10.25,3,Active,276
388,1076,25,6,254000,11.28,1,Active,726
389,1030,6,5,859000,10.36,8,Closed,87
390,1314,18,2,339000,12.66,3,Active,804
391,1486,1,1,778000,8.72,11,Active,22
392,1117,24,1,735000,9.05,11,Active,385
393,1415,3,1,842000,8.46,9,Closed,1045
394,1356,17,2,188000,12.57,4,Active,491
395,1192,16,5,3827000,11.64,6,Closed,773
396,1019,8,2,220000,11.67,5,Active,1015
397,1432,17,3,534000,7.81,2,Active,888
398,1173,8,1,1713000,9.44,12,Active,221
399,1228,17,2,220000,12.16,3,Active,591
400,1350,25,5,561000,12.0,7,Active,813
401,1183,9,4,280000,11.44,5,Closed,143
402,1113,12,1,1362000,9.89,12,Closed,45
403,1183,25,5,1352000,8.74,7,Closed,451
404,1481,19,1,3219000,9.1,13,Active,1004
405,1146,4,3,435000,8.87,5,Active,682
406,1319,21,1,429000,8.01,11,Active,147
407,1116,22,3,167000,9.53,3,Active,793
408,1113,25,1,1531000,8.03,11,Active,993
409,1251,11,3,552000,9.81,6,Closed,985
410,1476,4,3,388000,10.24,4,Active,1073
411,1251,14,1,1863000,8.35,12,Active,17
412,1303,14,6,240000,11.02,1,Active,149
413,1459,6,1,2350000,7.81,9,Active,1016
414,1313,17,5,1223000,11.35,7,Active,717
415,1118,2,2,174000,13.56,3,Active,850
416,1301,8,3,686000,9.21,5,Active,918
417,1161,4,3,539000,8.81,6,Active,1087
418,1401,10,1,1611000,9.48,13,Active,480
419,1198,7,1,1800000,7.84,11,Active,44
420,1260,4,2,427000,11.86,2,Active,875
421,1148,16,5,2803000,10.15,6,Active,355
422,1240,14,6,135000,9.22,2,Active,1036
423,1047,16,1,1638000,7.5,11,Closed,356
424,1475,25,2,83000,12.54,2,Active,895
425,1399,9,3,798000,9.42,4,Active,474
426,1198,4,2,841000,11.42,1,Closed,53
427,1047,24,6,60000,10.02,4,Closed,113
428,1078,6,1,1869000,7.08,11,Closed,815
429,1124,1,2,868000,13.79,2,Active,1091
430,1075,7,3,604000,10.0,5,Active,320
431,1359,1,1,1486000,7.96,12,Closed,634
432,1137,19,4,1489000,10.1,3,Active,401
433,1090,8,1,4321000,7.49,10,Active,5
434,1400,25,2,258000,12.92,4,Active,447
435,1325,3,3,339000,9.73,5,Closed,39
436,1500,1,1,2002000,7.51,10,Active,200
437,1061,1,1,1656000,7.77,12,Closed,21
438,1138,7,6,406000,10.35,3,Active,796
439,1050,21,5,2178000,12.04,6,Active,149
440,1259,13,6,227000,10.47,2,Active,625
441,1461,1,6,182000,11.73,1,Active,86
442,1107,16,1,1037000,8.73,12,Closed,531
443,1113,22,1,1264000,7.88,13,Closed,63
444,1350,22,1,3192000,8.19,11,Active,692
445,1254,14,5,666000,11.12,7,Active,550
446,1118,4,4,489000,10.63,6,Active,814
447,1493,23,3,339000,9.95,4,Active,408
448,1198,23,6,182000,10.56,1,Active,521
449,1337,12,3,343000,9.58,5,Active,533
450,1365,25,1,433000,10.19,12,Active,24
451,1051,12,1,1543000,9.96,12,Active,95
452,1245,17,1,1481000,8.19,12,Active,296
453,1403,21,1,1926000,7.17,11,Active,970
454,1426,15,2,319000,12.25,3,Active,533
455,1035,10,4,571000,10.09,5,Active,1032
456,1302,3,1,1713000,7.55,10,Active,888
457,1410,23,4,515000,9.74,4,Active,878
458,1499,20,2,416000,11.37,2,Active,385
459,1069,20,6,308000,10.68,2,Active,548
460,1349,12,4,1057000,10.1,7,Active,373
461,1320,1,6,599000,11.15,1,Closed,557
462,1421,1,2,159000,13.24,3,Closed,656
463,1468,10,1,3201000,8.85,13,Active,523
464,1049,18,2,351000,13.09,3,Active,835
465,1405,15,1,1575000,9.47,11,Active,511
466,1074,2,2,552000,12.17,5,Active,858
467,1192,17,1,1453000,8.04,13,Active,963
468,1261,8,2,85000,12.23,1,Active,212
469,1356,22,6,296000,10.19,1,Active,927
470,1070,22,1,2414000,8.28,11,Active,625
471,1090,9,6,220000,11.03,2,Active,345
472,1260,21,1,3228000,8.7,13,Active,1035
473,1126,20,1,2115000,7.23,11,Closed,336
474,1231,11,2,105000,13.79,3,Active,54
475,1295,6,5,455000,11.64,8,Active,605
476,1498,24,4,807000,10.17,4,Active,296
477,1419,14,4,465000,8.96,6,Default,701
478,1129,1,1,2487000,7.61,10,Active,388
479,1280,7,1,1345000,9.28,12,Active,1032
480,1313,24,1,1597000,9.25,11,Active,37
481,1100,9,2,392000,13.0,1,Closed,183
482,1326,11,6,211000,10.65,2,Active,292
483,1297,24,5,359000,11.98,2,Active,70
484,1182,23,1,3153000,7.12,11,Active,237
485,1174,16,4,285000,8.72,4,Active,464
486,1316,19,3,407000,10.01,6,Default,191
487,1364,2,1,1952000,7.46,10,Active,930
488,1188,15,2,213000,12.12,4,Closed,401
489,1057,3,2,198000,11.17,2,Closed,317
490,1031,4,3,437000,6.77,4,Active,718
491,1084,20,1,1329000,7.38,8,Closed,222
492,1152,22,6,220000,10.47,3,Active,658
493,1473,7,2,205000,11.46,1,Closed,292
494,1036,12,1,1525000,8.62,11,Active,949
495,1213,4,1,2519000,9.26,10,Active,223
496,1414,10,4,443000,10.46,6,Active,758
497,1408,6,3,907000,8.38,3,Active,759
498,1364,25,4,256000,10.04,4,Active,38
499,1106,22,1,2634000,7.58,13,Active,926
500,1414,14,1,985000,9.9,11,Default,400
501,1342,3,2,127000,12.54,2,Active,1030
502,1220,17,1,1798000,7.51,12,Active,998
503,1391,11,3,652000,9.29,3,Active,513
504,1163,10,1,1494000,8.28,11,Active,782
505,1439,21,1,1452000,8.68,12,Active,83
506,1220,10,1,2917000,6.73,11,Closed,335
507,1270,10,2,195000,11.63,3,Active,659
508,1120,3,4,781000,10.01,5,Closed,102
509,1394,24,5,1049000,11.58,6,Closed,825
510,1336,15,4,356000,12.45,5,Active,1055
511,1400,17,3,260000,9.93,1,Active,997
512,1182,18,1,1332000,7.63,12,Closed,154
513,1479,19,4,475000,10.98,6,Closed,560
514,1106,19,1,1125000,8.93,9,Active,943
515,1217,12,4,899000,11.02,6,Active,694
516,1205,24,4,749000,10.0,2,Active,232
517,1070,5,3,405000,10.33,6,Closed,388
518,1044,24,1,998000,8.96,8,Active,632
519,1329,16,6,104000,11.16,1,Closed,864
520,1301,15,4,606000,9.32,6,Active,809
521,1228,15,4,336000,9.67,5,Active,1050
522,1184,6,1,1375000,7.79,9,Active,1043
523,1107,12,2,113000,12.44,1,Default,855
524,1084,2,1,1039000,8.98,12,Active,537
525,1338,20,2,548000,12.94,2,Active,559
526,1250,9,3,590000,8.67,5,Active,711
527,1363,4,5,1740000,11.73,5,Closed,239
528,1441,5,1,973000,7.62,12,Active,289
529,1021,21,3,382000,9.15,2,Closed,368
530,1196,8,1,961000,9.55,10,Closed,412
531,1178,22,2,271000,11.62,1,Active,1046
532,1417,10,6,248000,10.88,3,Active,354
533,1475,7,4,637000,9.48,7,Closed,420
534,1007,22,2,267000,13.72,5,Active,782
535,1070,14,1,990000,10.19,11,Active,329
536,1127,5,2,373000,12.92,2,Active,873
537,1399,16,1,1025000,9.16,12,Active,782
538,1466,15,2,1334000,13.52,1,Active,738
539,1160,5,1,1831000,8.72,10,Active,749
540,1248,3,4,336000,9.38,5,Active,748
541,1203,23,1,563000,7.82,10,Active,148
542,1148,10,1,1056000,7.81,10,Active,621
543,1472,5,3,622000,7.95,3,Closed,143
544,1143,23,5,1893000,11.38,8,Active,976
545,1432,15,6,88000,9.81,2,Active,71
546,1199,18,5,760000,11.62,8,Active,311
547,1405,25,1,1427000,7.95,11,Active,638
548,1426,8,1,2664000,7.98,12,Active,467
549,1154,21,5,926000,11.42,6,Active,594
550,1492,2,5,2274000,11.8,7,Active,41
551,1376,22,3,411000,9.9,5,Active,899
552,1384,8,1,1326000,8.06,9,Active,771
553,1142,23,1,1389000,8.12,13,Active,356
554,1313,8,5,548000,10.12,5,Closed,279
555,1165,4,1,1435000,8.98,12,Active,655
556,1314,19,3,565000,9.19,2,Active,969
557,1021,23,6,230000,9.7,3,Closed,58
558,1082,18,3,464000,9.83,4,Closed,168
559,1069,21,1,603000,9.21,11,Active,373
560,1131,23,1,2086000,8.37,10,Closed,82
561,1087,1,1,2043000,8.08,9,Active,134
562,1218,20,3,631000,8.47,3,Active,364
563,1421,15,2,133000,12.8,3,Active,1070
564,1472,18,1,2254000,7.61,9,Active,262
565,1305,22,1,5251000,8.56,8,Active,469
566,1403,12,1,784000,8.2,10,Active,92
567,1371,1,6,139000,10.78,2,Active,19
568,1345,7,5,180000,11.09,5,Active,270
569,1341,19,2,83000,11.31,2,Active,577
570,1384,1,6,290000,10.9,3,Active,864
571,1396,24,3,1147000,9.24,4,Active,669
572,1445,7,4,640000,9.86,7,Closed,415
573,1425,2,3,897000,8.93,4,Closed,16
574,1161,7,4,260000,9.33,6,Active,620
575,1178,19,1,713000,8.37,10,Active,503
576,1117,13,3,369000,8.2,4,Active,696
577,1196,25,5,1904000,10.49,5,Closed,1002
578,1383,24,1,2135000,8.3,13,Closed,184
579,1490,5,1,1267000,8.07,12,Closed,441
580,1327,23,1,916000,9.16,11,Closed,581
581,1086,19,1,1302000,8.4,10,Closed,376
582,1289,1,1,1101000,8.14,11,Closed,346
583,1081,1,3,1857000,9.15,4,Active,729
584,1152,18,1,3553000,8.2,10,Active,390
585,1061,24,1,4648000,7.92,10,Active,180
586,1061,1,5,423000,10.75,9,Closed,637
587,1354,5,3,1021000,7.72,2,Active,376
